Email-id,User Name,Password,Comments (optional),Temp auth e-mail (optional),Department,Status,Group1,Group2,Group3,Group4,Group5,Group6,Group7,Group8,Group9,Group10,Group11,Group12,Group13,Group14,Group15,Group16,Group17,Group18,Group19,Group20,Group21,Group22,Group23,Group24,Group25,Group26,Group27,Group28,Group29,Group30,Group31,Group32,Group33,Group34,Group35,Group36,Group37,Group38,Group39,Group40,Group41,Group42,Group43,Group44,Group45,Group46,Group47,Group48,Group49,Group50,Group51,Group52,Group53,Group54,Group55,Group56,Group57,Group58,Group59,Group60,Group61,Group62,Group63,Group64,Group65,Group66,Group67,Group68,Group69,Group70,Group71,Group72,Group73,Group74,Group75,Group76,Group77,Group78,Group79,Group80,Group81,Group82,Group83,Group84,Group85,Group86,Group87,Group88,Group89,Group90,Group91,Group92,Group93,Group94,Group95,Group96,Group97,Group98,Group99,Group100,Group101,Group102,Group103,Group104,Group105,Group106,Group107,Group108,Group109,Group110,Group111,Group112,Group113,Group114,Group115,Group116,Group117,Group118,Group119,Group120,Group121,Group122,Group123,Group124,Group125,Group126,Group127,Group128
ww12@nithin.com,"ww12", ,"CSV Imported user", ,"Default Admin","Enabled","Service Admin"
ww13@nithin.com,"ww13", ,"CSV Imported user", ,"Default Admin","Enabled","Service Admin"
ww14@nithin.com,"ww14", ,"CSV Imported user", ,"Default Admin","Enabled","Service Admin"
ww15@nithin.com,"ww15", ,"CSV Imported user", ,"Default Admin","Enabled","Service Admin"
ww16@nithin.com,"ww16", ,"CSV Imported user", ,"Default Admin","Enabled","Service Admin"
ww17@nithin.com,"ww17", ,"CSV Imported user", ,"Default Admin","Enabled","Service Admin"
ww18@nithin.com,"ww18", ,"CSV Imported user", ,"Default Admin","Enabled","Service Admin"
ww19@nithin.com,"ww19", ,"CSV Imported user", ,"Default Admin","Enabled","Service Admin"
ww1@nithin.com,"ww1", , , ,"Default Admin","Enabled","Service Admin"
ww20@nithin.com,"ww20", ,"CSV Imported user", ,"Default Admin","Enabled","Service Admin"
ww21@nithin.com,"ww21", ,"CSV Imported user", ,"Default Admin","Enabled","Service Admin"
ww22@nithin.com,"ww22", ,"CSV Imported user", ,"Default Admin","Enabled","Service Admin"
ww23@nithin.com,"ww23", ,"CSV Imported user", ,"Default Admin","Enabled","Service Admin"
ww24@nithin.com,"ww24", ,"CSV Imported user", ,"Default Admin","Enabled","Service Admin"
ww25@nithin.com,"ww25", ,"CSV Imported user", ,"Default Admin","Enabled","Service Admin"
ww26@nithin.com,"ww26", ,"CSV Imported user", ,"Default Admin","Enabled","Service Admin"
ww27@nithin.com,"ww27", ,"CSV Imported user", ,"Default Admin","Enabled","Service Admin"
ww28@nithin.com,"ww28", ,"CSV Imported user", ,"Default Admin","Enabled","Service Admin"
ww29@nithin.com,"ww29", ,"CSV Imported user", ,"Default Admin","Enabled","Service Admin"
ww2@nithin.com,"ww2", , , ,"Default Admin","Enabled","Service Admin"
ww30@nithin.com,"ww30", ,"CSV Imported user", ,"Default Admin","Enabled","Service Admin"
ww31@nithin.com,"ww31", ,"CSV Imported user", ,"Default Admin","Enabled","Service Admin"
ww32@nithin.com,"ww32", ,"CSV Imported user", ,"Default Admin","Enabled","Service Admin"
ww33@nithin.com,"ww33", ,"CSV Imported user", ,"Default Admin","Enabled","Service Admin"
ww34@nithin.com,"ww34", ,"CSV Imported user", ,"Default Admin","Enabled","Service Admin"
ww35@nithin.com,"ww35", ,"CSV Imported user", ,"Default Admin","Enabled","Service Admin"
ww3@nithin.com,"ww3", , , ,"Default Admin","Enabled","Service Admin"
ww4@nithin.com,"ww4", , , ,"Default Admin","Enabled","Service Admin"
ww5@nithin.com,"ww5", , , ,"Default Admin","Enabled","Service Admin"
ww6@nithin.com,"ww6", ,"CSV Imported user", ,"Default Admin","Enabled","Service Admin"
ww7@nithin.com,"ww7", ,"CSV Imported user", ,"Default Admin","Enabled","Service Admin"
ww8@nithin.com,"ww8", ,"CSV Imported user", ,"Default Admin","Enabled","Service Admin"
ww9@nithin.com,"ww9", ,"CSV Imported user", ,"Default Admin","Enabled","Service Admin"
